ID: 11864, Name: msedge, Memory: 199 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 11896, Name: msedge, Memory: 7 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 12080, Name: msedge, Memory: 49 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 12088, Name: msedge, Memory: 112 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 12152, Name: msedge, Memory: 18 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 5996, Name: msedge, Memory: 149 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 13220, Name: msedge, Memory: 19 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 7568, Name: msedge, Memory: 17 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 3904, Name: msedge, Memory: 127 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 1272, Name: msedge, Memory: 73 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 2092, Name: msedge, Memory: 43 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 13248, Name: msedge, Memory: 15 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 10328, Name: msedge, Memory: 15 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 12992, Name: msedge, Memory: 15 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 12764, Name: msedge, Memory: 271 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 11400, Name: msedge, Memory: 92 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 12896, Name: msedge, Memory: 121 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 6624, Name: msedge, Memory: 57 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 8028, Name: msedge, Memory: 18 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 6500, Name: msedge, Memory: 38 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 7960, Name: msedge, Memory: 53 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 10356, Name: msedge, Memory: 43 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 8512, Name: msedge, Memory: 31 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
ID: 948, Name: msedge, Memory: 87 MB, StartTime: 9/10/2025 9:29:19 AM, Responding: True
